City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bloemfontein,-29.1211,26.214,15.71,59,0,1.03,ZA,1680198583
1,east london,-33.0153,27.9116,17.52,77,0,7.72,ZA,1680198452
2,nanga eboko,4.6833,12.3667,25.96,60,66,1.51,CM,1680198583
3,te anau,-45.4167,167.7167,7.64,78,87,1.08,NZ,1680198309
4,port elizabeth,-33.918,25.5701,17.83,80,20,7.72,ZA,1680198585
5,punta arenas,-53.15,-70.9167,8.06,49,75,12.35,CL,1680198236
6,gorontalo,0.5412,123.0595,24.44,97,100,1.06,ID,1680198585
7,port augusta,-32.5,137.7667,16.86,72,100,3.92,AU,1680198585
8,forst,51.7333,14.6333,11.04,84,100,5.62,DE,1680198436
9,albany,42.6001,-73.9662,2.87,37,48,2.68,US,1680198203
10,puerto ayora,-0.7393,-90.3518,29.98,92,46,3.13,EC,1680198585
11,anadyr,64.75,177.4833,-15.72,78,40,4.0,RU,1680198585
12,vestmannaeyjar,63.4427,-20.2734,7.55,76,75,3.6,IS,1680198586
13,mataura,-46.1927,168.8643,4.92,99,19,1.46,NZ,1680198586
14,bethel,41.3712,-73.414,6.46,35,0,5.14,US,1680198502
15,ushuaia,-54.8,-68.3,7.79,57,75,5.14,AR,1680198524
16,kodiak,57.79,-152.4072,1.73,87,100,6.69,US,1680198317
17,cherskiy,68.75,161.3,-11.19,95,100,4.48,RU,1680198587
18,broome,42.2506,-75.833,2.57,58,40,5.66,US,1680198588
19,lebu,-37.6167,-73.65,13.28,75,27,9.27,CL,1680198588
20,port lincoln,-34.7333,135.8667,13.79,80,100,1.53,AU,1680198588
21,kapaa,22.0752,-159.319,23.04,93,27,1.34,US,1680198588
22,tucumcari,35.1717,-103.725,23.3,44,0,10.29,US,1680198580
23,rikitea,-23.1203,-134.9692,25.98,71,96,0.96,PF,1680198588
24,kayes,14.0,-11.0,33.8,22,20,9.3,ML,1680198588
25,mon,26.75,95.1,14.77,83,18,1.91,IN,1680198589
26,qaanaaq,77.484,-69.3632,-21.51,72,59,2.04,GL,1680198589
27,richards bay,-28.783,32.0377,19.87,91,100,1.92,ZA,1680198204
28,jining,35.405,116.5814,10.21,62,100,3.41,CN,1680198589
29,port alfred,-33.5906,26.891,16.77,79,4,2.24,ZA,1680198589
30,faanui,-16.4833,-151.75,27.73,74,48,3.98,PF,1680198589
31,nizhniye sergi,56.6614,59.3033,-2.75,77,2,4.77,RU,1680198589
32,busselton,-33.65,115.3333,20.21,67,94,8.92,AU,1680198589
33,makakilo city,21.3469,-158.0858,24.13,88,40,2.06,US,1680198589
34,aklavik,68.2191,-135.0107,-17.0,71,0,2.57,CA,1680198589
35,cape town,-33.9258,18.4232,18.4,71,20,7.72,ZA,1680198481
36,necochea,-38.5473,-58.7368,19.86,30,57,3.65,AR,1680198589
37,norman wells,65.282,-126.8329,-11.98,67,20,4.63,CA,1680198590
38,evensk,61.95,159.2333,-16.77,97,100,2.25,RU,1680198590
39,bengkulu,-3.8004,102.2655,22.96,92,100,4.32,ID,1680198590
40,hilo,19.7297,-155.09,24.6,92,100,1.54,US,1680198417
41,pochutla,15.7432,-96.4661,33.23,40,0,4.73,MX,1680198590
42,bambous virieux,-20.3428,57.7575,27.34,89,40,5.14,MU,1680198590
43,college,64.8569,-147.8028,-3.78,64,75,3.6,US,1680198590
44,metro,-5.1131,105.3067,23.14,96,100,2.39,ID,1680198591
45,manta,-0.95,-80.7333,29.88,74,40,1.54,EC,1680198591
46,mar del plata,-38.0023,-57.5575,22.13,67,40,5.66,AR,1680198289
47,klaksvik,62.2266,-6.589,7.51,98,100,11.64,FO,1680198591
48,tasiilaq,65.6145,-37.6368,-2.91,77,96,2.59,GL,1680198591
49,pakdasht,35.4752,51.6807,20.0,21,0,0.2,IR,1680198591
50,diffa,13.3154,12.6113,30.91,8,20,3.37,NE,1680198591
51,hobart,-42.8794,147.3294,12.92,77,100,1.54,AU,1680198591
52,yellowknife,62.456,-114.3525,-14.69,66,75,1.54,CA,1680198520
53,leningradskiy,69.3833,178.4167,-27.21,100,81,2.46,RU,1680198592
54,sur,22.5667,59.5289,25.26,59,0,2.7,OM,1680198592
55,tambura,5.6,27.4667,27.13,43,79,1.56,SS,1680198592
56,kavieng,-2.5744,150.7967,25.31,87,100,6.91,PG,1680198592
57,araci,-11.3333,-38.9667,30.15,49,63,3.27,BR,1680198592
58,jamestown,42.097,-79.2353,1.68,56,0,5.66,US,1680198533
59,jumla,29.2747,82.1838,6.4,78,37,1.45,NP,1680198592
60,nagato,34.3833,131.2,14.91,57,100,3.13,JP,1680198399
61,upernavik,72.7868,-56.1549,-26.06,90,40,2.1,GL,1680198592
62,saint-philippe,-21.3585,55.7679,26.77,89,93,4.48,RE,1680198592
63,leca da palmeira,41.191,-8.7003,17.97,88,75,7.2,PT,1680198593
64,mocuba,-16.8392,36.9856,22.31,96,94,1.88,MZ,1680198593
65,kaitangata,-46.2817,169.8464,7.92,95,64,0.4,NZ,1680198593
66,wawa,9.9022,4.4192,33.26,28,54,2.45,NG,1680198593
67,bluff,-46.6,168.3333,6.59,92,18,3.41,NZ,1680198593
68,victoria,22.2855,114.1577,21.35,91,100,4.47,HK,1680198439
69,rivers,50.0308,-100.2403,-8.47,86,100,1.44,CA,1680198593
70,narsaq,60.9167,-46.05,1.12,62,0,1.04,GL,1680198593
71,alofi,-19.0595,-169.9187,25.94,89,100,2.06,NU,1680198593
72,fillan,63.6064,8.9696,-1.31,69,7,6.52,NO,1680198593
73,voronovytsya,49.1095,28.6808,4.46,47,31,2.01,UA,1680198593
74,donskoye,45.4552,41.9741,3.07,73,11,5.75,RU,1680198593
75,clyde,41.3042,-82.9752,7.88,46,3,2.78,US,1680198339
76,auki,-8.7676,160.7034,24.64,88,98,1.33,SB,1680198594
77,loja,-3.9931,-79.2042,21.67,50,75,2.57,EC,1680198594
78,cabras,39.93,8.5314,13.29,80,71,0.83,IT,1680198594
79,vaini,-21.2,-175.2,23.09,100,20,2.57,TO,1680198594
80,kropotkin,45.4375,40.5756,1.47,74,30,4.45,RU,1680198594
81,tecoanapa,16.5167,-98.75,29.88,57,24,4.88,MX,1680198594
82,burnie,-41.0667,145.9167,12.75,79,11,4.87,AU,1680198594
83,nikolskoye,59.7035,30.7861,-2.06,99,87,1.69,RU,1680198594
84,ribeira grande,38.5167,-28.7,17.22,82,20,3.6,PT,1680198594
85,avarua,-21.2078,-159.775,26.03,94,75,2.57,CK,1680198594
86,bredasdorp,-34.5322,20.0403,16.09,77,58,2.41,ZA,1680198594
87,hithadhoo,-0.6,73.0833,28.09,74,4,3.69,MV,1680198594
88,sibolga,1.7427,98.7792,23.84,88,61,1.84,ID,1680198595
89,asau,46.4333,26.4,6.51,74,43,2.52,RO,1680198595
90,severo-kurilsk,50.6789,156.125,-0.75,74,3,3.69,RU,1680198595
91,ikoma,34.6833,135.7,12.55,30,99,0.92,JP,1680198356
92,araouane,18.9048,-3.5265,33.1,6,0,4.85,ML,1680198595
93,gulu,2.7746,32.299,21.29,73,94,2.55,UG,1680198595
94,baruun-urt,46.6806,113.2792,5.68,28,18,2.98,MN,1680198595
95,provideniya,64.3833,-173.3,-9.16,86,99,3.74,RU,1680198595
96,naze,28.3667,129.4833,16.51,89,100,12.19,JP,1680198595
97,grand gaube,-20.0064,57.6608,27.43,80,18,2.68,MU,1680198595
98,bayan,46.0833,127.4,6.06,45,1,1.99,CN,1680198595
99,saint-pierre,-21.3393,55.4781,26.82,89,75,4.12,RE,1680198595
100,viseu,40.661,-7.9097,17.63,68,88,4.05,PT,1680198366
101,fairbanks,64.8378,-147.7164,-3.77,64,0,3.6,US,1680198268
102,aden,12.7794,45.0367,27.94,82,19,5.44,YE,1680198415
103,caceres,39.522,-6.3748,17.88,60,96,3.5,ES,1680198526
104,thompson,55.7435,-97.8558,-11.91,48,20,4.63,CA,1680198596
105,mahebourg,-20.4081,57.7,27.36,89,40,5.14,MU,1680198596
106,vagur,61.4732,-6.8119,7.45,95,100,8.73,FO,1680198596
107,atar,20.5169,-13.0499,37.33,8,0,9.22,MR,1680198596
108,khatanga,71.9667,102.5,-28.24,99,94,3.58,RU,1680198596
109,tuxpan,19.55,-103.4,23.87,24,100,0.99,MX,1680198375
110,ugoofaaru,5.6667,73.0,27.83,72,48,2.9,MV,1680198596
111,verkhnyaya inta,65.9811,60.3094,-6.32,76,100,5.07,RU,1680198596
112,port macquarie,-31.4333,152.9167,12.72,74,0,1.26,AU,1680198422
113,farso,56.7728,9.3393,7.7,98,100,3.96,DK,1680198596
114,likasi,-10.9814,26.7333,17.82,96,100,0.58,CD,1680198597
115,touros,-5.1989,-35.4608,27.87,73,14,7.26,BR,1680198597
116,chokurdakh,70.6333,147.9167,-28.41,100,97,2.0,RU,1680198597
117,castro,-24.7911,-50.0119,26.97,57,6,2.16,BR,1680198490
118,ilulissat,69.2167,-51.1,-11.99,61,20,2.06,GL,1680198597
119,fort nelson,58.8053,-122.7002,-1.7,82,75,2.06,CA,1680198597
120,kang,-23.6752,22.7876,25.52,36,66,3.46,BW,1680198597
121,tucuma,-0.1833,-50.05,27.23,86,67,3.29,BR,1680198597
122,prince george,53.9166,-122.753,2.36,69,0,2.57,CA,1680198307
123,iqaluit,63.7506,-68.5145,-15.15,71,20,0.0,CA,1680198597
124,trairi,-3.2778,-39.2689,28.47,71,62,4.07,BR,1680198319
125,ponta do sol,32.6667,-17.1,22.35,67,18,1.8,PT,1680198597
126,butaritari,3.0707,172.7902,27.28,80,90,5.23,KI,1680198598
127,vorukh,39.8494,70.5838,10.9,68,100,1.97,TJ,1680198598
128,zyryanka,65.75,150.85,-13.39,96,100,3.58,RU,1680198598
129,geraldton,-28.7667,114.6,20.23,88,40,3.6,AU,1680198598
130,talnakh,69.4865,88.3972,-27.11,97,90,2.7,RU,1680198598
131,sioux lookout,50.1001,-91.917,-2.96,50,75,3.6,CA,1680198598
132,tignere,7.3667,12.65,25.48,22,83,1.62,CM,1680198598
133,pontal do parana,-25.6533,-48.5128,31.66,58,40,5.14,BR,1680198598
134,ewa beach,21.3156,-158.0072,24.91,87,40,2.06,US,1680198598
135,pevek,69.7008,170.3133,-23.63,97,90,2.89,RU,1680198598
136,charters towers,-20.1,146.2667,24.81,68,65,3.61,AU,1680198598
137,nanortalik,60.1432,-45.2371,-3.59,71,3,5.37,GL,1680198598
138,oytal,42.9057,73.2697,14.1,66,96,1.38,KZ,1680198598
139,sao filipe,14.8961,-24.4956,23.98,73,19,4.01,CV,1680198598
140,nuuk,64.1835,-51.7216,-4.66,50,0,7.72,GL,1680198598
141,ahuimanu,21.4447,-157.8378,24.78,91,40,2.06,US,1680198599
142,lagos,6.5833,3.75,29.15,70,70,2.24,NG,1680198470
143,san patricio,28.017,-97.5169,26.93,74,100,8.47,US,1680198599
144,emba,48.8264,58.1442,11.95,58,98,11.98,KZ,1680198599
145,vostok,46.4856,135.8833,-4.36,81,43,2.04,RU,1680198599
146,provost,52.3501,-110.2683,-4.75,92,99,3.82,CA,1680198007
147,arraial do cabo,-22.9661,-42.0278,30.98,66,0,3.6,BR,1680198599
148,tarnogskiy gorodok,60.4997,43.5761,1.9,100,100,2.6,RU,1680198599
149,mpika,-11.8343,31.4529,16.99,97,87,1.34,ZM,1680198599
150,sao miguel do araguaia,-13.275,-50.1628,30.68,53,14,1.23,BR,1680198599
151,road town,18.4167,-64.6167,29.02,58,20,5.14,VG,1680198599
152,zhanaozen,43.3,52.8,9.8,64,2,8.28,KZ,1680198599
153,jabinyanah,35.035,10.9081,18.89,57,0,7.2,TN,1680198600
154,floro,61.5996,5.0328,4.02,81,75,3.09,NO,1680198600
155,abalak,58.1286,68.5944,-6.63,81,9,1.38,RU,1680198600
156,rimouski,48.4488,-68.524,-5.9,74,100,8.16,CA,1680198600
157,gat,31.61,34.7642,12.38,100,70,7.02,IL,1680198304
158,pisco,-13.7,-76.2167,27.03,69,40,5.14,PE,1680198600
159,atuona,-9.8,-139.0333,27.38,72,26,6.4,PF,1680198601
160,plaster rock,46.9065,-67.39,-3.36,85,100,6.7,CA,1680198601
161,antalaha,-14.9003,50.2788,26.93,79,94,6.18,MG,1680198601
162,banda aceh,5.5577,95.3222,26.48,79,100,2.08,ID,1680198601
163,mumford,5.2618,-0.759,27.61,81,100,5.13,GH,1680198601
164,altay,47.8667,88.1167,1.4,94,47,2.65,CN,1680198601
165,acarau,-2.8856,-40.12,27.85,75,12,7.15,BR,1680198523
166,lata,40.1629,-8.3327,19.4,70,97,3.77,PT,1680198602
167,svetlaya,46.5389,138.3297,1.45,65,59,2.36,RU,1680198602
168,souillac,-20.5167,57.5167,27.21,89,40,5.14,MU,1680198603
169,carnarvon,-24.8667,113.6333,23.93,76,100,5.27,AU,1680198603
170,hermanus,-34.4187,19.2345,15.45,86,32,2.39,ZA,1680198603
171,vila franca do campo,37.7167,-25.4333,17.23,95,100,4.43,PT,1680198604
172,the pas,53.8251,-101.2541,-8.99,48,0,3.09,CA,1680198604
173,beyneu,45.3167,55.2,20.16,38,84,4.94,KZ,1680198604
174,placer,39.0666,-120.7677,5.37,86,37,1.83,US,1680198604
175,isiro,2.7739,27.616,21.12,81,95,1.08,CD,1680198605
176,new norfolk,-42.7826,147.0587,12.73,79,99,1.42,AU,1680198605
177,ulaangom,49.9811,92.0667,-7.7,99,89,2.71,MN,1680198605
178,igrim,63.1906,64.4162,-7.71,92,68,3.22,RU,1680198605
179,sarkand,45.41,79.9186,5.42,73,19,1.09,KZ,1680198606
180,yining,29.0361,114.5636,12.84,89,34,0.32,CN,1680198606
181,lavrentiya,65.5833,-171.0,-8.19,87,100,3.54,RU,1680198606
182,frankenberg,51.0667,8.8,11.48,85,44,4.51,DE,1680198606
183,uslar,51.6569,9.635,13.92,75,44,4.99,DE,1680198511
184,rocha,-34.4833,-54.3333,17.99,90,100,3.31,UY,1680198607
185,hofn,64.2539,-15.2082,8.01,87,100,10.29,IS,1680198607
186,torbay,47.6666,-52.7314,3.55,63,20,0.89,CA,1680198607
187,constitucion,-35.3333,-72.4167,19.85,40,3,7.23,CL,1680198607
188,georgetown,5.4112,100.3354,28.97,79,20,0.51,MY,1680198389
189,amapa,1.0,-52.0,26.38,90,96,1.94,BR,1680198608
190,subang,-7.1277,108.5283,22.21,94,99,1.55,ID,1680198609
191,jega,12.2175,4.3792,31.14,9,70,1.48,NG,1680198609
192,bom jesus,-9.0744,-44.3586,29.94,53,72,3.45,BR,1680198610
193,lagoa,39.05,-27.9833,15.12,83,100,6.22,PT,1680198611
194,rabo de peixe,37.8,-25.5833,16.73,94,75,4.63,PT,1680198612
195,matara,5.9485,80.5353,25.11,89,13,0.97,LK,1680198612
196,san cristobal,7.7669,-72.225,23.1,64,97,2.28,VE,1680198612
197,ketchikan,55.3422,-131.6461,4.26,81,20,4.63,US,1680198363
198,rassvet,46.8333,40.75,0.91,78,100,10.23,RU,1680198613
199,sovetskiy,61.3614,63.5842,-9.39,87,50,2.8,RU,1680198613
200,lhokseumawe,5.1801,97.1507,26.11,82,100,2.53,ID,1680198613
201,fortuna,40.5982,-124.1573,11.07,78,51,0.45,US,1680198614
202,codrington,-38.2667,141.9667,13.15,79,67,3.83,AU,1680198614
203,lompoc,34.6391,-120.4579,13.77,75,20,3.58,US,1680198614
204,chuy,-33.6971,-53.4616,21.62,91,100,3.94,UY,1680198615
205,honiara,-9.4333,159.95,26.64,80,100,2.3,SB,1680198615
206,kahului,20.8947,-156.47,24.36,88,20,3.6,US,1680198616
207,marathon,44.9,-89.7668,3.02,42,0,4.63,US,1680198616
208,paamiut,61.994,-49.6678,-5.18,65,0,5.93,GL,1680198616
209,lithakia,37.7167,20.8333,14.6,67,20,1.03,GR,1680198616
210,westport,41.1415,-73.3579,7.16,30,0,5.14,US,1680198617
211,zhigansk,66.7697,123.3711,-17.61,85,100,10.72,RU,1680198617
212,tsukumi,33.0706,131.8572,12.14,69,100,1.47,JP,1680198617
213,atambua,-9.1061,124.8925,22.02,88,100,1.93,ID,1680198617
214,bukama,-9.2,25.85,21.23,95,78,0.67,CD,1680198618
215,viana do castelo,41.6932,-8.8329,15.08,90,100,10.31,PT,1680198618
216,luderitz,-26.6481,15.1594,17.54,73,0,9.44,NA,1680198618
217,carballo,43.213,-8.691,16.59,87,100,7.44,ES,1680198324
218,dingle,10.9995,122.6711,24.86,85,100,3.69,PH,1680198618
219,upata,8.0086,-62.3989,29.55,46,86,3.18,VE,1680198619
220,elizabeth city,36.2946,-76.2511,15.01,58,20,4.12,US,1680198619
221,cidreira,-30.1811,-50.2056,25.81,68,100,1.85,BR,1680198620
222,barrow,71.2906,-156.7887,-18.99,84,0,3.6,US,1680198507
223,ongandjera,-17.8833,15.0667,27.73,38,72,3.05,NA,1680198620
224,igarka,67.4667,86.5833,-23.6,95,50,6.27,RU,1680198620
225,narasannapeta,18.4167,84.05,26.54,80,18,4.14,IN,1680198621
226,faro,37.0194,-7.9322,22.32,77,0,4.63,PT,1680198396
227,camacha,33.0833,-16.3333,22.68,60,0,2.57,PT,1680198621
228,wanaka,-44.7,169.15,3.95,87,2,0.89,NZ,1680198621
229,chapais,49.7834,-74.8492,-8.12,75,99,4.95,CA,1680198622
230,sibiti,-3.6819,13.3499,20.23,99,100,0.63,CG,1680198622
231,kavaratti,10.5669,72.642,27.24,70,21,4.15,IN,1680198622
232,iskateley,67.6803,53.1512,-1.74,89,100,9.24,RU,1680198623
233,moron,-34.6534,-58.6198,23.85,65,19,4.34,AR,1680198623
234,kapit,2.0167,112.9333,22.3,99,100,0.3,MY,1680198623
235,muravlenko,63.7898,74.523,-18.11,97,31,4.23,RU,1680198623
236,emiliano zapata,18.8333,-99.1833,28.7,30,75,2.57,MX,1680198624
237,san lorenzo,-25.3333,-57.5333,36.77,34,6,4.58,PY,1680198624
238,tshikapa,-6.4167,20.8,21.25,97,99,1.16,CD,1680198626
239,taltal,-25.4,-70.4833,19.26,80,21,1.16,CL,1680198627
240,ust-nera,64.5667,143.2,-4.7,96,100,3.33,RU,1680198627
241,russell,32.3502,-85.1999,22.99,37,0,2.06,US,1680198627
242,thinadhoo,0.5333,72.9333,28.25,74,11,2.88,MV,1680198627
243,kamaishi,39.2667,141.8833,7.37,91,53,2.24,JP,1680198628
244,vasterhaninge,59.1167,18.1,-0.65,88,100,2.82,SE,1680198628
245,saskylakh,71.9167,114.0833,-33.09,100,99,2.14,RU,1680198628
246,pedasi,7.5333,-80.0333,28.52,67,57,7.85,PA,1680198629
247,constantine,36.365,6.6147,22.67,28,0,3.6,DZ,1680198629
248,uusikaupunki,60.8004,21.4084,-7.21,85,23,0.34,FI,1680198629
249,luang prabang,19.8856,102.1347,24.23,45,12,0.68,LA,1680198629
250,san jeronimo,-11.9472,-75.2829,11.84,78,99,3.53,PE,1680198629
251,kapoeta,4.7717,33.5903,29.44,41,56,2.12,SS,1680198630
252,nelson bay,-32.7167,152.15,16.67,73,1,5.36,AU,1680198630
253,egvekinot,66.3167,-179.1667,-15.82,96,93,3.09,RU,1680198630
254,byron bay,-28.65,153.6167,15.39,69,0,4.58,AU,1680198399
255,bhadrachalam,17.6667,80.8833,27.89,65,44,4.42,IN,1680198630
256,mehamn,71.0357,27.8492,-2.03,100,100,0.0,NO,1680198631
257,saurimo,-9.6608,20.3916,18.81,97,97,1.38,AO,1680198631
258,plettenberg bay,-34.0527,23.3716,15.4,90,10,2.26,ZA,1680198631
259,guerrero negro,27.9769,-114.0611,14.73,61,92,7.71,MX,1680198632
260,kieta,-6.2167,155.6333,25.28,87,100,2.16,PG,1680198632
261,gigmoto,13.7796,124.39,24.21,92,40,2.07,PH,1680198636
262,tabory,58.5198,64.5495,-6.72,86,10,2.21,RU,1680198636
263,homer,59.6425,-151.5483,1.0,87,100,3.58,US,1680198636
264,sao geraldo do araguaia,-6.4006,-48.555,28.17,86,96,1.65,BR,1680198637
265,bodden town,19.2833,-81.25,30.0,62,20,7.2,KY,1680198637
266,safaga,26.7292,33.9365,19.12,44,1,12.35,EG,1680198637
267,tuktoyaktuk,69.4541,-133.0374,-21.0,77,0,6.17,CA,1680198637
268,tezu,27.9167,96.1667,18.41,57,83,1.89,IN,1680198637
269,portland,45.5234,-122.6762,9.39,80,100,4.63,US,1680198132
270,ahipara,-35.1667,173.1667,13.15,74,1,2.91,NZ,1680198638
271,kalevala,65.2,31.1667,-10.18,93,86,2.55,RU,1680198638
272,esmeralda,21.8525,-78.1169,31.14,41,1,5.67,CU,1680198638
273,jinchang,38.4953,102.1739,11.17,38,100,4.61,CN,1680198639
274,ygatimi,-24.0833,-55.5,33.46,48,19,2.93,PY,1680198639
275,surt,31.2089,16.5887,15.43,62,0,6.05,LY,1680198639
276,chumikan,54.7183,135.315,-10.06,98,89,1.64,RU,1680198639
277,novyy urengoy,66.0833,76.6333,-23.79,98,18,3.78,RU,1680198639
278,esmeraldas,-19.7625,-44.3139,32.06,44,18,1.28,BR,1680198639
279,kathu,7.9178,98.3332,26.9,77,11,1.37,TH,1680198639
